StudentID,TestForm,location,yearLevel
10243,1,-0.029,2
10244,1,-0.278,2
10245,1,0.342,3
10246,1,-0.153,2
10247,1,1.127,3
10248,1,0.217,3
10249,2,-1.075,2
10250,2,-0.283,2
10251,2,-2.271,3
10252,2,0.536,2
10253,2,-0.676,2
10254,2,-2.271,2
10255,2,-1.639,3
10256,2,-0.152,2
10257,2,0.253,3
10258,2,-1.351,3
10259,2,0.253,3
10260,2,-0.152,3
10261,2,-0.019,3
10262,2,-0.283,2
10263,2,-0.545,3
10264,2,-0.414,2
10265,2,-0.808,3
10266,2,-1.639,3
10267,2,-0.152,3
10268,2,-1.075,3
10269,2,-0.941,3
10270,2,-1.351,3
10271,2,-0.808,3
10272,2,-0.941,2
10273,2,-2.828,2
10274,2,-0.676,2
10275,2,0.116,3
10276,2,-0.152,2
10277,2,-0.414,3
10278,2,-0.997,2
10279,2,-1.943,2
10280,2,0.536,3
10281,2,-0.676,3
10282,2,-2.828,2
10283,2,-0.414,2
10284,2,-1.493,2
10285,2,-2.104,2
10286,2,-0.414,3
10287,2,-1.639,2
10288,2,-1.493,2
10289,2,-1.493,3
10290,2,-0.545,2
10291,2,-0.676,2
10292,2,-0.545,3
10293,2,-0.676,3
10294,2,-0.019,3
10295,2,-1.075,3
10296,2,-0.283,3
10297,2,-2.104,2
10298,2,-0.283,2
10299,2,-1.943,2
10300,2,-0.545,2
10301,2,-2.104,2
10302,2,-2.631,2
10303,2,-1.789,2
10304,2,-2.104,2
10305,2,-1.493,2
10306,2,0.536,3
10307,2,-0.808,2
10308,2,-0.941,2
10309,2,-1.493,2
10310,2,-1.075,2
10311,2,-0.941,3
10312,2,-1.789,2
10313,2,-0.941,3
10314,2,-1.639,2
10315,2,-0.545,3
10316,2,-0.019,3
10317,2,-0.808,2
10318,2,-0.414,3
10319,2,-1.789,2
10320,2,-0.019,3
10321,2,-2.446,3
10322,2,-0.545,3
10323,2,-2.271,2
10324,2,-0.808,2
10325,2,-1.789,2
10326,2,-1.493,2
10327,2,-0.019,3
10328,2,-2.446,2
10329,2,-1.493,3
10330,2,-1.075,3
10331,2,0.116,3
10332,2,-1.493,2
10333,2,-0.808,2
10334,2,-1.351,2
10335,2,-0.545,3
10336,2,-1.493,2
10337,2,-1.075,2
10338,2,-0.941,2
10339,2,-1.212,2
10340,2,-1.943,2
10341,2,-1.789,2
10342,2,-0.676,2
10343,2,-1.075,3
10344,2,-0.283,2
10345,2,-1.943,2
10346,2,-1.493,2
10347,2,-1.351,3
10348,2,-0.414,3
10349,2,-0.283,2
10350,2,-0.676,3
10351,2,-0.414,2
10352,2,-2.631,2
10353,2,-0.545,3
10354,2,-1.493,2
10355,2,-0.676,2
10356,2,-0.414,3
10357,2,-1.075,2
10358,2,-2.271,3
10359,2,-1.943,2
10360,2,-0.545,2
10361,2,-0.676,2
10362,2,-0.941,2
10363,2,-0.283,2
10364,2,-0.019,3
10365,2,-0.676,3
10366,2,-2.271,2
10367,2,-1.493,3
10368,2,-1.075,2
10369,2,-1.075,2
10370,2,-2.271,2
10371,2,-2.271,2
10372,2,-0.414,2
10373,2,-0.414,3
10374,2,-0.019,2
10375,2,-2.104,2
10376,2,-1.212,2
10377,2,-1.212,2
10378,2,-1.493,2
10379,2,-0.152,3
10380,2,-0.545,3
10381,2,-0.676,2
10382,2,-0.808,3
10383,2,-0.941,2
10384,2,-0.676,2
10385,2,-1.789,2
10386,2,-0.414,3
10387,2,-0.941,3
10388,2,-1.212,2
10389,2,-1.351,3
10390,2,0.685,3
10391,2,0.253,2
10392,2,-1.789,2
10393,2,-1.639,3
10394,2,-1.943,2
10395,2,-1.493,2
10396,2,-0.545,2
10397,2,-0.283,2
10398,2,-1.493,2
10399,2,-1.147,3
10400,2,-1.351,2
10401,2,-1.943,2
10402,2,-0.676,2
10403,2,-2.104,3
10404,2,-0.414,2
10405,2,0.393,3
10406,2,1.543,2
10407,2,-2.828,2
10408,2,-0.019,3
10409,2,-1.639,3
10410,2,-1.212,3
10411,2,-1.493,3
10412,2,-1.943,2
10413,2,0.393,2
10414,2,-0.545,2
10415,2,-0.941,2
10416,2,-1.351,2
10417,2,0.536,3
10418,2,-1.351,2
10419,2,-1.351,3
10420,2,-1.639,3
10421,2,-0.808,2
10422,2,-1.493,2
10423,2,-1.212,3
10424,2,-0.808,2
10425,2,-1.493,2
10426,2,-2.104,2
10427,2,-0.414,3
10428,2,-0.414,3
10429,2,-0.676,3
10430,2,-1.351,2
10431,2,-1.943,2
10432,2,-0.808,2
10433,2,-1.639,2
10434,2,-0.941,2
10435,2,-0.414,2
10436,2,-1.639,2
10437,2,-0.941,2
10438,2,-0.545,2
10439,2,-0.414,2
10440,2,-0.676,2
10441,2,-1.351,2
10442,2,-0.545,3
10443,2,0.393,2
10444,2,-1.493,2
10445,2,-1.493,3
10446,2,-1.351,2
10447,2,-0.808,3
10448,2,-1.351,2
10449,2,-0.941,3
10450,2,-1.639,3
10451,2,-1.943,2
10452,2,-1.351,2
10453,2,-1.493,2
10454,2,-0.545,2
10455,2,-0.283,3
10456,2,-0.545,2
10457,2,-0.283,3
10458,2,-0.152,2
10459,2,-0.676,3
10460,2,-2.271,2
10461,2,1.543,2
10462,2,-1.212,3
10463,2,-1.351,3
10464,2,-0.019,2
10465,2,0.253,3
10466,2,-1.351,2
10467,2,-1.493,3
10468,2,-1.351,2
10469,2,-0.019,3
10470,2,-0.941,2
10471,2,-0.808,2
10472,2,-0.414,3
10473,2,-0.808,2
10474,2,-0.545,3
10475,2,-0.676,2
10476,2,-0.019,3
10477,2,-1.351,3
10478,2,0.685,3
10479,2,-0.019,3
10480,2,-1.212,2
10481,2,-0.283,3
10482,2,-1.493,2
10483,2,-0.545,2
10484,2,-0.808,2
10485,2,-0.019,3
10486,2,-1.075,2
10487,2,-1.212,2
10488,2,-0.808,3
10489,2,-0.545,2
10490,2,-0.808,2
10491,2,-0.808,3
10492,2,-1.212,3
10493,2,-0.808,2
10494,2,-0.808,3
10495,2,-1.351,3
10496,2,-1.351,3
10497,2,0.536,3
10498,2,-0.676,3
10499,2,-2.104,3
10500,2,-3.04,3
10501,2,-0.152,2
10502,2,-2.271,2
10503,2,-1.351,3
10504,2,-1.493,2
10505,2,0.393,2
10506,2,-0.808,2
10507,2,-3.04,2
10508,2,-0.414,2
10509,2,-0.545,2
10510,2,-1.789,2
10511,2,-2.631,2
10512,2,-0.414,2
10513,2,0.393,3
10514,2,-0.941,3
10515,2,-0.545,2
10516,2,0.116,3
10517,2,-1.075,3
10518,2,-0.808,3
10519,2,-0.545,3
10520,2,0.393,3
10521,2,-0.941,2
10522,2,-1.493,2
10523,2,-2.631,3
10524,2,-0.152,3
10525,2,-1.075,3
10526,2,-0.941,2
10527,2,-1.351,2
10528,2,-1.351,2
10529,2,-1.639,2
10530,2,-0.283,3
10531,2,0.253,3
10532,2,-0.808,3
10533,2,-1.789,2
10534,2,0.393,2
10535,2,-0.414,3
10536,2,-2.5,2
10537,2,-1.943,2
10538,2,-1.943,2
10539,2,-1.943,2
10540,2,-1.351,2
10541,2,-0.676,3
10542,2,-1.212,2
10543,2,-1.351,3
10544,2,-1.351,3
10545,2,-0.941,3
10546,2,-1.493,2
10547,2,-1.639,3
10548,2,-0.941,3
10549,2,-0.152,2
10550,2,-1.351,2
10551,2,-0.676,3
10552,2,-0.808,3
10553,2,-2.271,3
10554,2,-1.639,2
10555,2,-1.943,3
10556,2,-1.789,2
10557,2,-0.019,2
10558,2,-0.152,3
10559,2,-0.283,3
10560,2,-2.446,2
10561,2,-1.075,2
10562,2,-0.941,2
10563,2,-1.493,3
10564,2,-1.943,2
10565,2,-0.941,2
10566,2,-1.212,2
10567,2,0.253,3
10568,2,-2.271,2
10569,2,-0.019,3
10570,2,-0.545,3
10571,2,-0.941,2
10572,2,-0.019,3
10573,3,-0.264,2
10574,3,-1.297,2
10575,3,-1.811,3
10576,3,-1.811,3
10577,3,-0.918,2
10578,3,-1.811,2
10579,3,-2.965,2
10580,3,-0.662,3
10581,3,-0.662,2
10582,3,-1.424,2
10583,3,-0.662,2
10584,3,1.042,3
10585,3,-1.552,3
10586,3,0.018,3
10587,3,-0.125,2
10588,3,-2.215,2
10589,3,-1.044,2
10590,3,-1.044,2
10591,3,-1.811,2
10592,3,-1.424,2
10593,3,1.042,3
10594,3,0.165,3
10595,3,-1.297,3
10596,3,-0.531,2
10597,3,-0.125,3
10598,3,-0.125,2
10599,3,-0.918,2
10600,3,0.32,3
10601,3,-0.918,2
10602,3,-1.552,2
10603,3,-1.171,3
10604,3,0.165,3
10605,3,-0.531,3
10606,3,-2.812,2
10607,3,-1.044,3
10608,3,-1.297,2
10609,3,-2.356,2
10610,3,0.655,3
10611,3,-2.356,2
10612,3,-1.171,2
10613,3,-0.662,2
10614,3,-2.805,2
10615,3,-1.811,2
10616,3,-1.68,2
10617,3,0.165,3
10618,3,-2.805,2
10619,3,-1.424,2
10620,3,-0.399,3
10621,3,-0.918,3
10622,3,-1.044,3
10623,3,-1.171,2
10624,3,0.32,3
10625,3,-0.531,2
10626,3,-1.297,3
10627,3,-1.552,2
10628,3,-0.79,2
10629,3,0.018,3
10630,3,0.32,3
10631,3,-1.68,2
10632,3,-2.356,2
10633,3,-1.68,2
10634,3,-1.297,3
10635,3,-1.68,2
10636,3,-1.552,2
10637,3,-1.424,3
10638,3,-1.044,2
10639,3,0.32,2
10640,3,-1.297,2
10641,3,-1.811,2
10642,3,-1.297,2
10643,3,0.018,3
10644,3,-1.044,3
10645,3,-0.79,2
10646,3,-0.79,2
10647,3,-0.531,2
10648,3,-2.356,2
10649,3,0.018,3
10650,3,-0.264,2
10651,3,-1.044,2
10652,3,0.482,3
10653,3,1.042,3
10654,3,-0.79,3
10655,3,-0.662,2
10656,3,-1.297,2
10657,3,0.018,3
10658,3,-1.811,2
10659,3,-0.953,2
10660,3,-0.264,3
10661,3,0.018,3
10662,3,-3.133,2
10663,3,-1.171,2
10664,3,-0.264,3
10665,3,-0.531,2
10666,3,0.018,3
10667,3,-1.811,2
10668,3,-1.171,2
10669,3,-0.918,2
10670,3,-1.297,2
10671,3,-1.552,2
10672,3,-1.171,2
10673,3,-0.264,3
10674,3,-2.215,2
10675,3,0.165,3
10676,3,-0.125,3
10677,3,-0.264,3
10678,3,-2.501,2
10679,3,-0.79,2
10680,3,-1.044,2
10681,3,0.655,3
10682,3,-0.918,2
10683,3,-1.424,2
10684,3,-1.044,3
10685,3,-1.044,3
10686,3,-0.531,2
10687,3,0.165,2
10688,3,-2.356,2
10689,3,-0.264,3
10690,3,-0.79,3
10691,3,-0.531,3
10692,3,-1.297,3
10693,3,0.018,3
10694,3,-0.531,2
10695,3,-1.552,2
10696,3,0.165,3
10697,3,-1.044,2
10698,3,-0.125,3
10699,3,-0.531,3
10700,3,-1.171,2
10701,3,-0.531,3
10702,3,-0.264,2
10703,3,-1.68,2
10704,3,-1.297,3
10705,3,-2.215,2
10706,3,-0.918,3
10707,3,0.655,2
10708,3,-0.531,3
10709,3,-0.125,2
10710,3,-1.297,2
10711,3,-0.42,3
10712,3,-1.297,2
10713,3,0.018,3
10714,3,-1.552,2
10715,3,-1.171,2
10716,3,-1.68,2
10717,3,-1.044,2
10718,3,-1.68,2
10719,3,-1.171,2
10720,3,-0.531,3
10721,3,-1.044,2
10722,3,-0.125,2
10723,3,-1.424,3
10724,3,0.165,3
10725,3,-1.171,3
10726,3,-2.805,2
10727,3,-1.297,2
10728,3,-0.399,2
10729,3,-1.811,2
10730,3,-1.424,2
10731,3,-2.65,2
10732,3,-1.552,3
10733,3,-0.531,3
10734,3,0.165,2
10735,3,-2.215,2
10736,3,-1.044,2
10737,3,0.655,3
10738,3,-0.125,2
10739,3,-1.171,2
10740,3,-1.943,2
10741,3,-1.171,2
10742,3,-1.297,2
10743,3,-2.215,2
10744,3,-0.662,2
10745,3,-0.918,2
10746,3,-0.531,2
10747,3,0.165,3
10748,3,-2.805,2
10749,3,-0.79,2
10750,3,0.482,3
10751,3,-0.918,2
10752,3,-0.662,2
10753,3,-2.177,2
10754,3,-0.79,2
10755,3,-0.918,3
10756,3,-0.79,3
10757,3,-0.918,2
10758,3,-1.044,3
10759,3,-0.79,2
10760,3,-1.68,2
10761,3,0.018,3
10762,3,-1.044,3
10763,3,-1.044,3
10764,3,0.165,3
10765,3,-1.171,2
10766,3,-1.297,2
10767,3,-1.297,2
10768,3,0.84,3
10769,3,-0.79,2
10770,3,-1.171,2
10771,3,0.32,3
10772,3,-0.662,3
10773,3,-0.918,3
10774,3,-0.531,2
10775,3,-0.399,3
10776,3,-2.356,2
10777,3,-2.65,3
10778,3,-0.125,3
10779,3,0.018,3
10780,3,-1.811,2
10781,3,-2.078,2
10782,3,-0.662,2
10783,3,-3.133,2
10784,3,-0.399,2
10785,3,-1.552,2
10786,3,-1.171,2
10787,3,-0.662,3
10788,3,-1.68,3
10789,3,-0.918,3
10790,3,-0.125,3
10791,3,0.018,2
10792,3,-2.356,2
10793,3,-0.918,2
10794,3,-0.79,3
10795,3,-0.918,2
10796,3,-0.531,3
10797,3,-0.531,3
10798,3,-2.215,2
10799,3,-0.662,2
10800,4,0.342,3
10801,4,-0.13,3
10802,4,-0.059,3
10803,4,-0.758,3
10804,4,-2.069,2
10805,4,-0.498,3
10806,4,-0.251,2
10807,4,0.946,3
10808,4,-0.13,2
10809,4,-2.294,3
10810,4,0.946,3
10811,4,-1.865,2
10812,4,0.579,3
10813,4,-0.498,2
10814,4,-0.011,2
10815,4,-0.373,2
10816,4,-1.338,2
10817,4,-0.373,2
10818,4,-0.307,2
10819,4,-0.251,3
10820,4,0.107,2
10821,4,-1.183,2
10822,4,-0.626,2
10823,4,-1.677,2
10824,4,-0.626,3
10825,4,-1.133,2
10826,4,-0.373,2
10827,4,1.073,3
10828,4,-0.373,2
10829,4,0.342,3
10830,4,-1.183,2
10831,4,0.699,2
10832,4,-0.373,2
10833,4,0.107,2
10834,4,-0.498,3
10835,4,-1.035,2
10836,4,-0.251,2
10837,4,0.304,3
10838,4,-0.251,3
10839,4,-0.894,2
10840,4,-0.373,2
10841,4,0.224,3
10842,4,-1.827,2
10843,4,0.107,2
10844,4,1.205,2
10845,4,-1.291,2
10846,4,-0.251,2
10847,4,0.224,3
10848,4,1.483,3
10849,4,-0.7,2
10850,4,-0.251,3
10851,4,-0.566,2
10852,4,-1.677,2
10853,4,-0.498,2
10854,4,1.205,3
10855,4,-0.251,3
10856,4,-1.183,2
10857,4,-2.069,2
10858,4,-0.011,2
10859,4,0.699,3
10860,4,0.107,3
10861,4,-0.894,2
10862,4,0.821,3
10863,4,-0.059,2
10864,4,-0.838,2
10865,4,-0.626,2
10866,4,-0.251,2
10867,4,-0.894,2
10868,4,-1.338,2
10869,4,-1.035,2
10870,4,0.107,3
10871,4,-1.035,2
10872,4,-1.035,2
10873,4,-1.338,2
10874,4,-0.498,2
10875,4,-0.894,3
10876,4,0.821,3
10877,4,-0.251,2
10878,4,-1.338,3
10879,4,-1.035,2
10880,4,0.224,3
10881,4,1.073,3
10882,4,0.342,2
10883,4,0.699,2
10884,4,-0.011,3
10885,4,0.946,2
10886,4,-0.626,2
10887,4,0.545,3
10888,4,-0.13,2
10889,4,0.304,3
10890,4,-1.338,3
10891,4,0.946,3
10892,4,0.342,3
10893,4,-0.251,2
10894,4,-1.183,2
10895,4,-1.827,2
10896,4,-2.069,2
10897,4,-0.13,3
10898,4,-0.498,2
10899,4,-1.183,2
10900,4,-0.566,2
10901,4,-1.183,2
10902,4,0.946,2
10903,4,-0.373,3
10904,4,0.224,3
10905,4,-0.251,2
10906,4,-0.498,3
10907,4,-0.626,2
10908,4,-0.626,2
10909,4,0.224,3
10910,4,-0.251,2
10911,4,-0.011,3
10912,4,-1.035,2
10913,4,-0.011,3
10914,4,-0.498,2
10915,4,1.341,2
10916,4,-0.011,2
10917,4,-1.502,2
10918,4,-0.373,2
10919,4,2.134,3
10920,4,-1.035,2
10921,4,-0.626,3
10922,4,-0.373,2
10923,4,-0.307,2
10924,4,-0.758,2
10925,4,0.821,2
10926,4,0.46,3
10927,4,0.107,2
10928,4,-0.13,3
10929,4,-0.758,3
10930,4,-0.894,2
10931,4,-0.838,2
10932,4,-1.133,3
10933,4,0.342,2
10934,4,-0.13,2
10935,4,-0.498,2
10936,4,-0.626,2
10937,4,-0.566,2
10938,4,-0.13,2
10939,4,-0.251,2
10940,4,-0.838,2
10941,4,-0.758,2
10942,4,-1.183,2
10943,4,-0.251,2
10944,4,-0.894,3
10945,4,-1.338,2
10946,4,0.342,3
10947,4,-1.035,2
10948,4,-0.498,2
10949,4,0.342,3
10950,4,-2.294,2
10951,4,-0.498,2
10952,4,0.342,3
10953,4,-0.983,2
10954,4,-0.251,2
10955,4,1.955,2
10956,4,-1.035,2
10957,4,-0.373,3
10958,4,1.073,3
10959,4,0.342,3
10960,4,0.028,3
10961,4,-0.894,2
10962,4,0.946,3
10963,4,-0.894,3
10964,4,-1.035,2
10965,4,-0.498,2
10966,4,0.579,3
10967,4,-0.13,3
10968,4,0.579,3
10969,4,-0.498,2
10970,4,-0.13,2
10971,4,-0.626,3
10972,4,0.699,2
10973,4,-0.435,3
10974,4,0.224,3
10975,4,-0.894,2
10976,4,-0.251,2
10977,4,0.46,2
10978,4,-1.035,2
10979,4,-0.498,3
10980,4,0.946,3
10981,4,-0.13,2
10982,4,-1.502,2
10983,4,0.224,3
10984,4,-0.894,3
10985,4,1.631,3
10986,4,-0.373,3
10987,4,1.073,3
10988,4,-1.502,2
10989,4,0.342,2
10990,4,-0.626,2
10991,4,-1.502,3
10992,4,-0.13,3
10993,4,0.699,3
10994,4,-0.498,2
10995,4,-0.435,2
10996,4,-0.251,3
10997,4,0.224,3
10998,4,-0.13,3
10999,4,-0.251,2
11000,4,-0.894,2
11001,4,-0.498,3
11002,4,0.224,3
11003,4,-0.251,2
11004,4,-0.894,3
11005,4,0.946,3
11006,4,0.946,3
11007,4,-0.258,3
11008,4,-0.626,2
11009,4,-1.035,3
11010,4,1.169,3
11011,4,0.46,3
11012,4,-0.13,2
11013,4,0.579,3
11014,4,-0.13,3
11015,4,-0.626,2
11016,4,-0.626,2
11017,4,0.224,3
11018,4,-0.894,2
11019,4,-0.758,2
11020,4,0.579,3
11021,4,-0.7,3
11022,4,0.107,2
11023,4,-0.838,3
11024,4,1.483,3
11025,4,-0.983,3
11026,4,0.342,2
11027,4,-0.566,3
11028,4,0.821,2
11029,4,-0.13,3
11030,4,0.107,2
11031,4,0.46,2
11032,4,-0.498,2
11033,4,-0.498,3
11034,4,-1.133,2
11035,4,0.579,3
11036,4,-1.035,2
11037,4,-0.13,2
11038,4,1.205,3
11039,4,-0.251,2
11040,5,-1.776,2
11041,5,-1.031,2
11042,5,-0.915,2
11043,5,-0.915,2
11044,5,-1.391,3
11045,5,-0.684,2
11046,5,-0.568,3
11047,5,-2.056,2
11048,5,-0.098,2
11049,5,-1.776,2
11050,5,0.024,3
11051,5,-0.098,3
11052,5,-1.149,2
11053,5,-1.597,2
11054,5,-1.031,2
11055,5,0.15,2
11056,5,-1.776,2
11057,5,-0.915,2
11058,5,-0.684,2
11059,5,-2.722,3
11060,5,0.15,2
11061,5,0.698,3
11062,5,-1.643,3
11063,5,-1.031,3
11064,5,-0.098,3
11065,5,-1.391,2
11066,5,-0.336,3
11067,5,-0.799,3
11068,5,-0.285,3
11069,5,-1.776,2
11070,5,-1.269,2
11071,5,-2.207,2
11072,5,0.552,2
11073,5,-0.336,3
11074,5,-0.452,3
11075,5,-0.915,2
11076,5,-0.684,2
11077,5,-1.776,2
11078,5,-1.515,2
11079,5,-1.269,2
11080,5,-1.515,2
11081,5,0.279,3
11082,5,-0.684,3
11083,5,-2.056,2
11084,5,-1.391,3
11085,5,-1.269,2
11086,5,-1.269,2
11087,5,-0.098,3
11088,5,-0.218,3
11089,5,-2.056,2
11090,5,-1.833,2
11091,5,0.279,3
11092,5,-0.799,3
11093,5,-0.218,3
11094,5,-3.721,2
11095,5,-1.269,2
11096,5,-2.207,2
11097,5,-1.913,2
11098,5,-0.452,3
11099,5,-1.149,3
11100,5,-1.031,2
11101,5,-1.913,2
11102,5,0.279,2
11103,5,-0.452,3
